ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;30/03/2020;;travel to other US states banned;;;Kentucky;outbound traveller ban;;https://governor.ky.gov/attachments/20200330_Executive-Order_2020-258_Out-of-State-Travel.pdf;;;;
;;United States;30/03/2020;30/04/2020;Raimondo announces Rhode Island school buildings will be closed through the end of April, with classes continuing through distance learning;;;Rhode Island;school closure;;;;;;
;;United States;30/03/2020;;issued a statewide stay-at-home order;;;Kansas;blanket isolation - no symptoms;3;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas;;;;
;;United States;30/03/2020;;launching the “Stay Healthy, Stay at Home” campaign;;;Hawaii;coronavirus education activities;;https://hawaiicovid19.com/hawaii-department-of-health-launches-covid-19-public-awareness-campaign-featuring-frank-de-lima/;;;;
;;United States;30/03/2020;;any person, resident or non-resident,travelling intoVermontfor anything other than an essential purpose, must immediately self-quarantine for 14 daysor the balance of 14 days dating from the day of arrival;;;Vermont;domestic traveller quarantine;;;;;;
;;United States;30/03/2020;;Maryland medical facilities, educational institutions, and businesses disseminated guidance from the Centers for Disease Control and Prevention;;;Maryland;coronavirus education activities;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;Hong Kong;29/03/2020;;Hong Kong reports 59 confirmed cases, bringing total to 641 confirmed cases. 43 people have travel history. ;;;;case reporting;;https://news.rthk.hk/rthk/ch/component/k2/1517625-20200330.htm;;;;
;;United States;29/03/2020;;Salt Lake County issued a public health order directing all individuals present within the county to stay safe at home or at their place of residence, except to engage in essential activities and to work to provide essential business, infrastructure, and/or government services;;Salt Lake City;Utah;blanket curfew - no symptoms;;;;;;
;;Albania;29/03/2020;;Albania sent a group of thirty medical staff members to Lombardy, Italy. Prime Minister Edi Rama said his country was thanking former Italian help.;;;;international aid;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania;;Italy;;
;;Australia;29/03/2020;;On 29 March, Morrison addressed in a press conference following a National Cabinet meeting that public gatherings will be limited to two people;;;;outdoor gatherings banned;2;https://www.theguardian.com/australia-news/2020/mar/29/coronavirus-australia-latest-at-a-glance;;;;
;;Australia;29/03/2020;;He stated that he would like the schools to remain open but parents could keep children at home if they wished to;;;;school closure - limited;;https://www.bbc.com/news/world-australia-51992357;;;;
;;Australia;29/03/2020;;also urging Australians over the age of 70, Australians with chronic illness over the age of 60 and Indigenous Australians over the age of 50 to stay home and self-isolate.;;;;blanket isolation - vulnerable;;https://www.theguardian.com/australia-news/2020/mar/29/coronavirus-australia-latest-at-a-glance;;;;
