ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;17/03/2020;;Morgan State University in Baltimore announced that it would be suspending face-to-face instruction for the remainder of the semester;;;Maryland;remote schooling, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;United States;17/03/2020;;he Vehicle Emissions Inspection Program (VEIP) was suspended in Maryland as their facilities were announced to be converted into drive-thru coronavirus testing centers;;;Maryland;new testing method commenced;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;United States;17/03/2020;;"Restaurants, bars etc:  No seating may be
provided, food and drink may not be consumed on the premises (either indoors or outdoors) and customers may enter the
facility only to pick up and pay. Self-service operations, including salad bars, beverage stations, and buffets are
prohibited. Customers are prohibited from self-dispensing all unpackaged food.";;;Wisconsin;limited nonessential business suspension, restaurant limitations;;https://evers.wi.gov/Documents/COVID19/Mass%20Gathering%20FAQ%203.21.20.pdf;;;;
;;United States;17/03/2020;;On March 17, a statewide ban of all gatherings with more than 10 people was announced by the governor.;;;Wisconsin;outdoor gatherings banned;10;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin;;;;
620;;United States;17/03/2020;;Not allowed to visit nursing homes;;;Oregon;ban on visit to nursing homes;;https://www.livescience.com/oregon-coronavirus-updates.html;;;;
;;United States;17/03/2020;;movie theaters, bars, fitness centers, casinos, etc. closed;;;Louisiana;cultural activity limitation;;https://gov.louisiana.gov/assets/ExecutiveOrders/JBE-EO-30.pdf;;;;
;;United States;17/03/2020;;Jazz Fest 2020 postponed;;;Louisiana;very large event cancellation or postponement;;https://wgno.com/news/local/jazz-fest-2020-postponed/;;;;
;;United States;17/03/2020;;all gatherings of 50 people or more postponed or cancelled;;;Louisiana;indoor gatherings banned, outdoor gatherings banned;50;https://gov.louisiana.gov/assets/ExecutiveOrders/JBE-EO-30.pdf;;;;
;;United States;17/03/2020;;crowds of 25 or more people banned;;;Rhode Island;indoor gatherings banned, outdoor gatherings banned;10;;;;;
;;United States;17/03/2020;13/04/2020;Bars and dine-in restaurants closed;;;Rhode Island;restaurant limitations;;;;;;
;;United States;17/03/2020;;ban gatherings of 50 in enclosed space;;;Kansas;indoor gatherings banned;50;https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf;;;;
;;United States;17/03/2020;;Governor orders all public schools to close for the rest of the school year;;;Kansas;school closure;;https://governor.kansas.gov/executive-order-20-07/;;;;
;;United States;17/03/2020;;Gov. Reynolds issues a State of Public Health Disaster Emergency;;;Iowa;state of emergency;;https://idph.iowa.gov/News/ArtMID/646/ArticleID/158309/Gov-Reynolds-issues-a-State-of-Public-Health-Disaster-Emergency-31720;;;;
;;United States;17/03/2020;;All Restaurants and Bars are hereby closed to the general public;;;Iowa;restaurant limitations;;https://governor.iowa.gov/press-release/gov-reynolds-issues-a-state-of-public-health-disaster-emergency;;;;
;;United States;17/03/2020;06/04/2020;"spring break for public schools in Hawaii would be extended for an additional week; later extended";;;Hawaii;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii;;;;
;;Brazil;17/03/2020;;Brazilian authorities partially closed their border with Venezuela;;;;international travel ban - risk countries;;https://www.reuters.com/article/us-health-coronavirus-brazil-venezuela-idUSKBN2143ZS;;Venezuela;;
;;Brazil;17/03/2020;;Mechanical Turk data n=70;;;;public mask wearing data;25;Mechanical Turk Survey n=70;;;;
389;;Ukraine;17/03/2020;;Restaurants, cafes, bars, shopping and entertainment centers, fitness centers, cultural establishments must close.;Outlets selling food products, fuels, hygiene products, medicines, and medical products are permitted to stay open, as are those offering banking and insurance services;;;limited nonessential business suspension;;https://www.kyivpost.com/article/opinion/op-ed/andy-hunder-ukraine-introduces-significant-measures-to-contain-covid-19.html;;;;
;;Belgium;17/03/2020;;On the evening of 17 March, the Prime Minister broadcast a decision to impose stricter social distancing measures from noon the following day until 5 April, with non-essential travel prohibited,;;;;blanket curfew - no symptoms, domestic travel ban;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
340;;Iceland;17/03/2020;;On 16 March, the supermarket chain Samkaup announced that 27 grocery stores throughout Iceland would have special shopping times for vulnerable members of the public, including the elderly and those with chronic and underlying illnesses. Starting on 17 March, select Nettó and Kjörbúðin locations would reserve the hour from 9 to 10 a.m. for those shoppers at greatest risk of severe complications should they contract COVID-19.[;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland;;;;
175;;Austria;17/03/2020;;restaurants were ordered to close beginning on 17 March;;;;limited nonessential business suspension, restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
;;United States;17/03/2020;;unemployment benefits were expanded to those temporarily out of work due to COVID-19 related closures or due to self-quarantining;;;New Hampshire;unemployment benefits extension;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;17/03/2020;;victions and utility disconnections were banned to help those affected by the spread of the virus;;;New Hampshire;eviction moratorium;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;17/03/2020;;state-wide closure of dine-in services, gyms, casinos, and theaters;;;Colorado;cultural activity limitation;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado;;;;
;;United States;17/03/2020;17/04/2020;"Public school closure; Schools would remain closed through spring break the following week; later prolonged to April 17";;;Arkansas;school closure;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas;;;;
;;United States;17/03/2020;;all bars and restaurants closed by 8 a.m. on March 17 (except for food delivery and pickup);;;Colorado;restaurant limitations;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado;;;;
;;United States;17/03/2020;;banned gatherings of more than 50 people;;;Colorado;indoor gatherings banned, outdoor gatherings banned;50;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado;;;;
269;;Hungary;17/03/2020;;The Hungarian Football Federation (MLSZ) postponed all football matches;;;;sports cancellation, very large event cancellation or postponement;;https://www.aa.com.tr/en/europe/football-games-in-hungary-suspended-over-covid-19-fears/1769330;;;;
581;;Russia;17/03/2020;10/04/2020;All football, hockey and basketball games are suspended.;;;;sports cancellation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Russia#cite_note-46;;;;
;;United States;17/03/2020;;New York City Mayor Bill de Blasio also announced that all schools, bars, and restaurants in the city were to be closed starting 9 a.m. on March 17 except for food takeout and delivery;;New York City;New York;restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
388;;Ukraine;17/03/2020;;All mass gatherings (cultural, entertainment, sports, social, religious, advertising and other) involving more than ten people are prohibited;;;;cultural activity limitation, outdoor gatherings banned, religious activity cancellation, social distancing, sports cancellation;10;https://www.kyivpost.com/article/opinion/op-ed/andy-hunder-ukraine-introduces-significant-measures-to-contain-covid-19.html;;;;
379;;Turkey;17/03/2020;;Closure of all public gathering places such as cafes, gyms, Internet cafés and movie theaters, except shops and restaurants not offering music in 81 provincies;;;;limited nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey;;;;
284;;Hungary;17/03/2020;;only Hungarian citizens will be allowed to enter the country. The restriction relates to all road, railway, water and air borders.;;;;international travel ban - all countries;;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;all countries;;
309;;Moldova;17/03/2020;31/03/2020;The activity of all markets, such as retail outlets, public food outlets throughout the country, with the exception of pharmacies, grocery stores and PECO stations, will end until March 31;;;;general nonessential business suspension;;https://translate.google.com/translate?sl=auto&tl=en&u=https%3A%2F%2Fansp.md%2Findex.php%2Fdate-actualizate-cu-privire-la-raspandirea-noului-tip-de-coronavirus-covid-19-in-republica-moldova-si-recomandari-pentru-populatie%2F;;;;
835;;Croatia;17/03/2020;;On 17 March, Prime Minister Plenković announced closing shopping centres, some shops, restaurants, cinemas, theatres, reading rooms, libraries, gyms, sports centres, fitness centres, recreation centres, dance schools, children's and other workshops, exhibitions, fairs, nightclubs and discos.;;;;general nonessential business suspension, restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia;;;;
;;Hungary;17/03/2020;;PM Orbán said all events in Hungary will be banned starting at midnight on Monday, adding that sporting events should be held behind closed doors unless the organizers cancel those events altogether. Shops are not allowed to remain open beyond 3 p.m., excluding food stores and pharmacies. this regulation does not yet apply to the services sector – such as nail parlors, hairdressers and gymnasiums;;;;limited nonessential business suspension;50;http://abouthungary.hu/news-in-brief/coronavirus-heres-the-latest/;;;;
;;Belgium;17/03/2020;;gatherings banned,;;;;outdoor gatherings banned;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
;;Belgium;17/03/2020;;non-essential shops to close,;;;;general nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium;;;;
;;South Korea;17/03/2020;;Encourage people who have travelled oversea within last 14 days, self-isolate and social distance immediately ;;;;international traveller quarantine - all countries;;https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015;;;;
;;Estonia;17/03/2020;;The Latvian airline airBaltic suspended all flights from 17 March including those from Tallinn Airport;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
;;Namibia;17/03/2020;;THE government declared the novel coronavirus a state of emergency to enable the country to mobilise resources to respond to the crisis and also made N$134 million available to tackle the pandemic.;;;;state of emergency;;https://www.namibian.com.na/89346/read/Govt-raises-Covid-19-surveillance;;;;
;;Kazakhstan;17/03/2020;;Also, all stores and shopping malls in the two major cities will be closed and only grocery and drug stores will be allowed to operate during the quarantine.;grocery and drug stores;Almaty, Nur-Sultan;;general nonessential business suspension;;https://www.rferl.org/a/armenia-puts-restrictions-on-public-and-private-events-amid-spike-in-coronavirus-cases/30492284.html;;;;
;;Kazakhstan;17/03/2020;;According to the website, special points to distribute food, medicine, and other items will be defined in Nur-Sultan and Almaty.;;Almaty, Nur-Sultan;;;;https://www.rferl.org/a/armenia-puts-restrictions-on-public-and-private-events-amid-spike-in-coronavirus-cases/30492284.html;;;;
;;Qatar;17/03/2020;;The report says: “As of 17 March, almost 8,400 people in Qatar have been tested for COVID-19.”;;;;testing numbers total;8400;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Sweden;17/03/2020;;Figures refer to individuals tested;;;;testing numbers total;14300;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Kuwait;17/03/2020;;In an earlier version of this dataset we reported an estimate of 120,000 tests based on an official letter sent to us by the Ministry of Information. After this, they sent a second email correcting their estimate to 27,000, and then a further correction to 20,000. Since no figure is substantiated in a public statement, we have decided to not publish the numbers. We will revise this once the numbers are made public.;;;;testing numbers total;0;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;New Zealand;17/03/2020;;The press release provides a breakdown of tests conducted, as follows: 11 confirmed cases, 2 probable cases, 571 negative tests. More recent press releases do not include a section on tests conducted.;;;;testing numbers total;584;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Ireland;17/03/2020;;The spokesperson states reports 292 people have tested positive in total and states: “The number of people tested is over 6,600”.;;;;testing numbers total;6600;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Thailand;17/03/2020;;The situation reports have changed. The figure reported here can be recovered via web.archive.org;;;;testing numbers total;7084;https://ourworldindata.org/coronavirus-testing-source-data;;;;
;;Czechia;17/03/2020;;10% of citizens in public wearing masks;;;;public mask wearing data;10;Communication with Czech locals;;;;
;;United States;17/03/2020;;Governor Hogan announced that the Preakness Stakes, which take place at Pimlico Race Course in Baltimore, would be postponed until September 2020;;;Maryland;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;Germany;17/03/2020;;Berlin announced the plan to construct a hospital with the Bundeswehr for housing 1000 beds for Covid-19 patients. The Federal and State Governments agreed on a new emergency plan for German hospitals which includes doubling the current capacity of 28,000 intensive care beds, of which 25,000 are equipped with ventilation;;;;treatment capacity;1000;https://www.rbb24.de/politik/thema/2020/coronavirus/beitraege/berlin-krankenhaus-corona-messegelaende.html;;;;
266;;France;17/03/2020;31/03/2020;President Emmanuel Macron commanded the French to stay at home for at least 15 days. Only trips to supermarkets, pharmacies and places of work will be allowed and all workers have been told to work from home where possible.;;;;blanket isolation - no symptoms, compulsory isolation;;https://www.aa.com.tr/en/europe/coronavirus-spain-to-shut-land-borders-at-midnight/1768259;;;;
642;;United States;17/03/2020;;state of emergency;;;Nevada;public announcement, state of emergency;;https://www.livescience.com/nevada-coronavirus-updates.html;;;;
;;Nepal;17/03/2020;;A meeting of the high-level coordination committee for prevention and control of COVID-19 decided to add 115 ICU and 1,000 isolation beds in the Kathmandu Valley. It also instructed the provincial governments to setup a total of 120 ICU beds.;;;;increase hospital capacity;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;United States;17/03/2020;;Governor Murphy said that as of 8 p.m. on the 17th, all of the state's amusement centers, amusement parks, and shopping malls would be closed indefinitely;;;New Jersey;limited nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response;;;;
;;United States;17/03/2020;;GAthering of more than 50 people banned;;;Indiana;outdoor gatherings banned;50;https://calendar.in.gov/site/gov/event/gov-holcomb-announces-more-steps-to-slow-the-spread-of-covid-19/;;;;
;;Kazakhstan;17/03/2020;;A quarantine was imposed on Almaty and Nur-Sultan after cases increased overnight to 33, having 15 and 18 cases respectively;;Almaty, Nur-Sultan;;cluster isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan;;;;
;;United States;17/03/2020;30/03/2020;Governor Pritzker announced statewide school closures beginning March 17 until March 30.[28];;;Illiniois;school closure;;https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx;;;;
;;United States;17/03/2020;;gatherings more 10 people banned;;;Virginia;outdoor gatherings banned;10;;;;;
866;;Estonia;17/03/2020;;The Latvian airline airBaltic suspended all flights from 17 March including those from Tallinn Airport.;;;;international travel ban - all countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
856;;Denmark;17/03/2020;;hospitals began postponing non-essential operations as a preparation for future cases of COVID-19, and on 17 March this was done in all hospitals nationwide.;;;;medical aid;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark;;;;
;;United States;17/03/2020;;state's bars and restaurants to suspend dine-in service;;;North Carolina;public announcement, restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response;;;;
826;;Bulgaria;17/03/2020;;Bansko became the first town in the country to be put under quarantine;;Bansko;;blanket isolation - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria;;;;
816;;Mexico;17/03/2020;;Several universities suspended classes ;;;;remote schooling, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico;;;;
821;;Mexico;17/03/2020;;Inflatable hospital installed in Hidalgo before anticipated outbreak;;;;hospital construction;;https://mexiconewsdaily.com/news/coronavirus/inflatable-hospital-installed-in-hidalgo/;;;;
822;;Mexico;17/03/2020;;Public events over 1,000 people suspended in Mexico City;;;Mexico City;outdoor gatherings banned;1000;https://mexiconewsdaily.com/news/coronavirus/mexico-city-bans-events-with-more-than-1000-people/;;;;
806;;Andorra;17/03/2020;;On 17 March, the toll of cases raised to 39. The Co-Prince Joan Enric Vives Sicília addressed a special televised message calling for the calm gratitude and collaboration among all.;;;;case reporting, public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra;;;;
;;United States;17/03/2020;;mandatory shutdown of dine-in service in restaurants and bars;;;South Carolina;restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#Government_response;;;;
;;United States;17/03/2020;;evictions prohibited;;Seattle;Washington;evictions prohibited;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response;;;;
;;United States;17/03/2020;;gatherings of more than 50 people banned;;;South Carolina;outdoor gatherings banned;50;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#Government_response;;;;
;;Germany;17/03/2020;;In order to interrupt the chain of infection when entering Germany for a long time, cross-border travel is restricted.Particular attention is paid to the unrestricted maintenance of freight traffic.;;;;international travel ban - all countries;;https://www.bmvi.de/SharedDocs/DE/Artikel/LF/coronavirus-anordnung.html;;;;
858;;Egypt;17/03/2020;;Suspension of performances in cinemas and theatres;;;;cultural activity limitation;;https://translate.google.com/translate?hl=&sl=ar&tl=en&u=https%3A%2F%2Far.m.wikipedia.org%2Fwiki%2F%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%85%D8%B5%D8%B1_2020;;;;
;;United States;17/03/2020;01/06/2020;delay of state tax deadlines;;;South Carolina;financial incentive;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#Government_response;;;;
853;;Egypt;17/03/2020;;reducing energy prices for industrial users and cutting the tax on company dividends by half. Egypt will lower the price of natural gas for industrial use to $4.50 per mmbtu from $5.50.;;;;economic stimulus;;https://www.middleeastmonitor.com/20200317-egypt-cuts-dividend-tax-and-energy-prices-to-soften-coronavirus-impact/;;;;
844;;United States;17/03/2020;;bars, nightclubs closures;;;Florida;restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response;;;;
859;;Egypt;17/03/2020;17/06/2020;Banned export of alcohol, disinfectants, means of protection, sterilization, and medical masks for a period of three months;;;;prohibition of medicine export;;https://www.egypttoday.com/Article/1/82797/Egyptian-law-exporting-masks-alcohol-now-punishable-by-jail;;;;
680;;Iran;17/03/2020;;Government temporarily release 85,000 prisoners from jail to combat spread;;;;prisoner release;;https://english.alarabiya.net/en/News/middle-east/2020/03/17/Iran-frees-85-000-prisoners-due-to-coronavirus-says-judiciary-spokesman.html;;;;
438;;Montenegro;17/03/2020;;"Montenegro confirmed the first two cases of COVID-19 on Tuesday, making it the last among European countries to report outbreak of the infection on its territory. the two infected women born in 1948 and 1973, come from the coastal city of Ulcinj, and from the capital of Podgorica. They are both sent to isolation at their homes in good health.
They recently came back from abroad, namely from Spain and the United States respectively.";;;;case reporting, first case;;http://www.china.org.cn/world/2020-03/18/content_75827588.htm;;;;
843;;United States;17/03/2020;15/04/2020;school closure;;;Florida;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response;;;;
491;;Czechia;17/03/2020;;On Tuesday, 17 March 2020, the government approved a draft regulation banning the distribution of medicines in connection with the SARS-CoV-2 epidemic. Persons who have purchased medicinal products are not allowed to sell them abroad.;;;;prohibition of medicine export;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
643;;United States;17/03/2020;17/04/2020;nonessential businnesses shutwodwn;;;Nevada;general nonessential business suspension;;https://www.livescience.com/nevada-coronavirus-updates.html;;;;
466;;Germany;17/03/2020;;"that there should be no vacation trips in Germany or abroad,"" said Merkel.";;;;outbound traveller ban;;https://www.handelsblatt.com/politik/deutschland/coronakrise-deutschland-im-shutdown-modus-die-alternativlos-kanzlerin-kehrt-zurueck/25650658.html?ticket=ST-171536-ZYUQZdoKsqFrMyPTQrqK-ap6;;;;
463;;Germany;17/03/2020;;Deutsche Bahn decided to reduce its regional traffic;;;;domestic travel limitation;;https://www.welt.de/wirtschaft/article206565929/Coronavirus-Deutsche-Bahn-schraenkt-Regionalverkehr-ein.html;;;;
374;;Ukraine;17/03/2020;;A total ban on rail, air and bus intercity and interregional passenger transport services, as well as the suspension of the underground metro in Kyiv, Kharkiv, and Dnipro;;;;public transport stopped;;https://www.kyivpost.com/article/opinion/op-ed/andy-hunder-ukraine-introduces-significant-measures-to-contain-covid-19.html?cn-reloaded=1;;;;
390;;Ukraine;17/03/2020;;Enterprises and organizations are advised to provide shift work for employees, and, if technically possible, to ensure work online;;;;remote work;;https://www.kyivpost.com/article/opinion/op-ed/andy-hunder-ukraine-introduces-significant-measures-to-contain-covid-19.html;;;;
387;;Ukraine;17/03/2020;;A ban on domestic intercity and interregional carriage of passengers by motor transport and a limit of passengers traveling on trams, trolleybuses and road transport on intracity routes;;;;public transport limited;;https://www.kyivpost.com/article/opinion/op-ed/andy-hunder-ukraine-introduces-significant-measures-to-contain-covid-19.html;;;;
437;;Montenegro;17/03/2020;;"Public transport of passengers (suburban, urban and intercity) by buses, vans and rail is suspended;
";;;;public transport stopped;;http://www.gov.me/en/News/223008/New-measures-are-ordered-New-recommendations-to-protect-citizens-from-coronavirus-are-published.html;;;;
297;;Malta;17/03/2020;;All bars, cinemas, restaurants, gyms are closed ;;;;limited nonessential business suspension;;https://covid19malta.info/;;;;
368;;Kazakhstan;17/03/2020;;In March 2020, President Kassym-Jomart Tokayev ordered the cancellations of both the Nowruz celebrations as well as the military parade in honor of the 75th anniversary of the end of the Second World War.;;;;very large event cancellation or postponement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan;;;;
268;;Spain;17/03/2020;;Spain will close all of its land borders to unnecessary travel at midnight;;;;international travel ban - all countries;;https://www.aa.com.tr/en/europe/coronavirus-spain-to-shut-land-borders-at-midnight/1768259;;;;
246;;Estonia;17/03/2020;;To set up full border control from 17 March with only Estonian citizens, permanent residents, their relatives, and transport workers carrying out freight transport allowed to enter the country.;;;;international travel ban - all countries;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
591;;Russia;17/03/2020;;The Russian Orthodox Church is instigating an unprecedented list of measures aiming to prevent the spread of the coronavirus in its sacred spaces nationwide.;;;;religious activity limitations;;https://www.themoscowtimes.com/2020/03/18/coronavirus-in-russia-the-latest-news-march-18-a69117;;;;
452;;Montenegro;17/03/2020;;"The operation of indoor and outdoor sports and recreational facilities, hair and beauty saloons and swimming pools is prohibited;
";;;;limited nonessential business suspension;;http://www.gov.me/en/News/223008/New-measures-are-ordered-New-recommendations-to-protect-citizens-from-coronavirus-are-published.html;;;;
299;;Moldova;17/03/2020;31/03/2020;All air travel banned, regardless of the purpose and destination, land borders closed too;;;;domestic travel ban, international travel ban - all countries;;https://translate.google.com/translate?sl=auto&tl=en&u=https%3A%2F%2Fansp.md%2Findex.php%2Fdate-actualizate-cu-privire-la-raspandirea-noului-tip-de-coronavirus-covid-19-in-republica-moldova-si-recomandari-pentru-populatie%2F;;all countries;;
172;children younger than 14 years old;Austria;17/03/2020;04/04/2020;All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April.;;;;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
163;;Austria;16/03/2020;;On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.;;;;university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria;;;;
372;;United Kingdom;16/03/2020;;If one person in any household has a persistent cough or fever, everyone living there must stay at home for 14 days;;;;blanket isolation - symptoms;;https://www.bbc.com/news/uk-51920444;;;;
357;;United Kingdom;16/03/2020;;"By the weekend, those with the most serious health conditions must be ""largely shielded from social contact for around 12 weeks""";;;;isolation advice to elderly;;https://www.bbc.com/news/uk-51920444;;;;
356;;United Kingdom;16/03/2020;;Everyone should avoid gatherings with friends and family, as well as large gatherings and crowded places, such as pubs, clubs and theatres;;;;public announcement, social distancing;;https://www.bbc.com/news/uk-51920444;;;;
426;;Slovenia;16/03/2020;;all educational institutions are closed;;;;nursery school closure, school closure, university closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia;;;;
427;;Slovenia;16/03/2020;;The government closed all restaurants and bars;;;;limited nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia;;;;
;;Slovenia;16/03/2020;;The provision and sale of goods and services directly to consumers in the territory of the Republic of Slovenia was temporarily banned on 16 March. These include accommodation, catering, wellness, sports and recreational, cinematographic, cultural, hairdressing, cosmetics and pedicure services, including gaming and other similar activities.;;;;general nonessential business suspension;;https://www.gov.si/en/topics/coronavirus-disease-covid-19/koronavirus-preparedness-and-measures-in-slovenia/;;;;
;;Slovenia;16/03/2020;;The Government of the Republic of Slovenia decided to change the method of monitoring the spread of novel coronavirus. People with respiratory infections not requiring hospital care will no longer be tested, but the situation will be assessed on the basis of the number of people who become ill.;;;;new testing method commenced, testing criteria;;https://www.gov.si/en/topics/coronavirus-disease-covid-19/koronavirus-preparedness-and-measures-in-slovenia/;;;;
;;United States;16/03/2020;;Governor Janet Mills today called for the statewide cancellation of Saint Patrick’s events to prevent the gathering of large crowds and further encourage social distancing measures;;;Maine;social distancing, very large event cancellation or postponement;;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;Georgia;16/03/2020;;The Government also recommends cafes, restaurants and bars to offer customers the take-away service.;;;;;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
;;Georgia;16/03/2020;;The Coordination Council recommended all elderly citizens of Georgia to avoid mass gatherings and isolate themselves.;;;;elderly, isolation advice to elderly;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
;;Georgia;16/03/2020;;The government disseminated a special sms to all phones in Georgia informing population about measures and recommendations.;;;;information sms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country);;;;
;;United States;16/03/2020;;all bars and restaurants would close to dining;;;Kentucky;restaurant limitations;;https://governor.ky.gov/attachments/20200316_Order_Restaurant-Closure.pdf;;;;
;;United States;16/03/2020;;Public schools are closed onward;;;Rhode Island;school closure;;;;;;
;;United States;16/03/2020;;dine-in restaurants closed (takeaway allowed);;;Delaware;restaurant limitations;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response;;;;
;;United States;16/03/2020;;Archbishop William E. Lori of the Roman Catholic Archdiocese of Baltimore announced that all Catholic schools in the archdiocese would close;;;Maryland;school closure;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response;;;;
;;United States;16/03/2020;;all gatherings of 50 or more people will be canceled in accordance with new guidelines which were issued by the CDC.;;;Illiniois;outdoor gatherings banned;50;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#cite_note-51;;;;
;;United States;16/03/2020;;the National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons;;;Virginia;sports cancellation;;;;;;
619;;United States;16/03/2020;;dine in restaurants not allowed;;;Oregon;restaurant limitations;;https://www.livescience.com/oregon-coronavirus-updates.html;;;;
;;United States;16/03/2020;;The Roman Catholic Diocese of Providence cancels all public Mass services until further notice;;;Rhode Island;religious activity cancellation;;;;;;
;;Brazil;16/03/2020;;Suspension of day release programme;;;;prison policy;;https://www.foxnews.com/world/coronavirus-brazil-outbreak-jail-escape-inmate-lockdown;;;;
;;Brazil;16/03/2020;;an Emergency Operations Center (COE) of the Municipal Health Secretariat (Sesau) was created to establish actions to combat and control Covid-19.;;;;special management arrangements;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Brazil;;;;
